identifier,constant,rating,age,yearsmarried,number_of_children,religiousness,education,not_used_1,occupation,husband_occupation,extramarital_time_per_year,not_used_2,not_used_3
3.0,1.0,3.0,32.0,9.0,3.0,3.0,17.0,40.0,2.0,5.0,0.1111111,0.0,1.0
12.0,1.0,3.0,27.0,13.0,3.0,1.0,14.0,20.0,3.0,4.0,3.2307692,0.0,1.0
51.0,1.0,4.0,22.0,2.5,0.0,1.0,16.0,11.5,3.0,5.0,1.3999996,0.0,1.0
53.0,1.0,4.0,37.0,16.5,4.0,3.0,16.0,20.0,5.0,5.0,0.7272727,0.0,1.0
54.0,1.0,5.0,27.0,9.0,1.0,1.0,14.0,14.0,3.0,4.0,4.6666660,0.0,1.0
74.0,1.0,4.0,27.0,9.0,0.0,2.0,14.0,20.0,3.0,4.0,4.6666660,0.0,1.0
81.0,1.0,5.0,37.0,23.0,5.5,2.0,12.0,20.0,5.0,4.0,0.8521735,0.0,1.0
83.0,1.0,5.0,37.0,23.0,5.5,2.0,12.0,20.0,2.0,3.0,1.8260860,0.0,1.0
89.0,1.0,3.0,22.0,2.5,0.0,2.0,12.0,11.5,3.0,3.0,4.7999992,0.0,1.0
102.0,1.0,3.0,27.0,6.0,0.0,1.0,16.0,20.0,3.0,5.0,1.3333330,0.0,1.0
135.0,1.0,2.0,27.0,6.0,2.0,1.0,16.0,20.0,3.0,5.0,3.2666645,0.0,1.0
137.0,1.0,5.0,27.0,6.0,2.0,3.0,14.0,14.0,3.0,5.0,2.0416660,0.0,1.0
144.0,1.0,3.0,37.0,16.5,5.5,1.0,12.0,11.5,2.0,3.0,0.4848484,0.0,1.0
160.0,1.0,5.0,27.0,6.0,0.0,2.0,14.0,20.0,3.0,2.0,2.0000000,0.0,1.0
168.0,1.0,4.0,22.0,6.0,1.0,1.0,14.0,14.0,4.0,4.0,3.2666645,0.0,1.0
182.0,1.0,4.0,37.0,9.0,2.0,2.0,14.0,40.0,3.0,6.0,1.3611107,0.0,1.0
202.0,1.0,4.0,27.0,6.0,1.0,1.0,12.0,20.0,3.0,5.0,2.0000000,0.0,1.0
228.0,1.0,1.0,37.0,23.0,5.5,4.0,14.0,14.0,5.0,2.0,1.8260860,0.0,1.0
239.0,1.0,2.0,42.0,23.0,2.0,2.0,20.0,20.0,4.0,4.0,1.8260860,0.0,1.0
243.0,1.0,4.0,37.0,6.0,0.0,2.0,16.0,20.0,5.0,4.0,2.0416660,0.0,1.0
248.0,1.0,5.0,22.0,2.5,0.0,2.0,14.0,20.0,3.0,4.0,7.8399963,0.0,1.0
251.0,1.0,3.0,37.0,16.5,5.5,2.0,9.0,40.0,3.0,2.0,2.5454540,0.0,1.0
264.0,1.0,3.0,42.0,23.0,5.5,3.0,12.0,14.0,5.0,4.0,0.5326087,0.0,1.0
266.0,1.0,2.0,27.0,9.0,2.0,4.0,20.0,20.0,3.0,4.0,0.6222222,0.0,1.0
280.0,1.0,4.0,27.0,6.0,1.0,2.0,12.0,11.5,5.0,4.0,0.5833333,0.0,1.0
284.0,1.0,5.0,27.0,2.5,0.0,3.0,16.0,14.0,4.0,1.0,4.7999992,0.0,1.0
286.0,1.0,2.0,27.0,6.0,2.0,2.0,12.0,11.5,2.0,5.0,0.1666666,0.0,1.0
289.0,1.0,5.0,37.0,13.0,1.0,3.0,12.0,11.5,3.0,4.0,0.6153846,0.0,1.0
293.0,1.0,2.0,32.0,16.5,2.0,2.0,12.0,14.0,4.0,2.0,1.1878777,0.0,1.0
296.0,1.0,3.0,27.0,6.0,1.0,1.0,14.0,14.0,3.0,6.0,11.1999989,0.0,1.0
297.0,1.0,3.0,32.0,16.5,4.0,3.0,14.0,20.0,5.0,5.0,1.1878777,0.0,1.0
300.0,1.0,3.0,27.0,9.0,2.0,1.0,14.0,20.0,3.0,4.0,2.1777763,0.0,1.0
308.0,1.0,3.0,37.0,16.5,3.0,3.0,14.0,14.0,3.0,2.0,0.4848484,0.0,1.0
312.0,1.0,4.0,32.0,16.5,5.5,4.0,12.0,14.0,2.0,4.0,0.7272727,0.0,1.0
320.0,1.0,5.0,42.0,16.5,4.0,3.0,16.0,40.0,4.0,6.0,0.7272727,0.0,1.0
322.0,1.0,3.0,27.0,9.0,2.0,2.0,12.0,14.0,5.0,2.0,1.3333330,0.0,1.0
332.0,1.0,3.0,17.5,0.5,0.0,1.0,12.0,11.5,3.0,2.0,7.0000000,0.0,1.0
339.0,1.0,4.0,42.0,23.0,5.5,2.0,20.0,4.0,3.0,2.0,0.5217391,0.0,1.0
354.0,1.0,5.0,37.0,16.5,3.0,3.0,12.0,20.0,3.0,5.0,0.2121212,0.0,1.0
359.0,1.0,4.0,22.0,2.5,1.0,2.0,14.0,20.0,3.0,5.0,0.4000000,0.0,1.0
361.0,1.0,4.0,27.0,2.5,0.0,2.0,16.0,20.0,4.0,1.0,1.3999996,0.0,1.0
368.0,1.0,4.0,22.0,2.5,0.0,2.0,14.0,14.0,3.0,6.0,3.1999998,0.0,1.0
370.0,1.0,4.0,37.0,13.0,3.0,2.0,16.0,40.0,4.0,5.0,1.5076914,0.0,1.0
373.0,1.0,4.0,22.0,2.5,0.0,2.0,16.0,14.0,3.0,4.0,7.8399963,0.0,1.0
386.0,1.0,4.0,22.0,2.5,0.0,1.0,14.0,11.5,1.0,2.0,7.8399963,0.0,1.0
387.0,1.0,5.0,22.0,2.5,0.0,3.0,12.0,14.0,3.0,2.0,0.4000000,0.0,1.0
410.0,1.0,5.0,22.0,2.5,0.0,3.0,16.0,20.0,4.0,5.0,4.8999996,0.0,1.0
411.0,1.0,3.0,42.0,23.0,4.0,3.0,16.0,40.0,5.0,5.0,0.0434783,0.0,1.0
425.0,1.0,5.0,32.0,13.0,3.0,3.0,14.0,14.0,4.0,4.0,0.0769231,0.0,1.0
431.0,1.0,5.0,22.0,6.0,2.0,2.0,14.0,14.0,3.0,4.0,0.5833333,0.0,1.0
471.0,1.0,3.0,27.0,2.5,1.0,4.0,17.0,6.5,4.0,6.0,4.7999992,0.0,1.0
473.0,1.0,2.0,42.0,23.0,3.0,3.0,14.0,20.0,3.0,5.0,0.8521735,0.0,1.0
478.0,1.0,4.0,22.0,2.5,0.0,1.0,17.0,40.0,6.0,6.0,4.7999992,0.0,1.0
496.0,1.0,2.0,42.0,23.0,3.0,3.0,14.0,20.0,3.0,5.0,2.9217386,0.0,1.0
510.0,1.0,4.0,42.0,23.0,2.0,2.0,14.0,14.0,4.0,4.0,0.5217391,0.0,1.0
512.0,1.0,4.0,42.0,23.0,3.0,3.0,12.0,20.0,5.0,4.0,0.5326087,0.0,1.0
516.0,1.0,4.0,37.0,16.5,2.0,3.0,14.0,20.0,3.0,4.0,0.4848484,0.0,1.0
521.0,1.0,4.0,27.0,2.5,0.0,2.0,20.0,20.0,4.0,5.0,7.8399963,0.0,1.0
529.0,1.0,2.0,32.0,9.0,2.0,2.0,12.0,9.0,2.0,2.0,1.3333330,0.0,1.0
533.0,1.0,4.0,42.0,13.0,0.0,1.0,14.0,20.0,3.0,4.0,1.5076914,0.0,1.0
536.0,1.0,4.0,22.0,6.0,2.0,1.0,12.0,11.5,3.0,4.0,1.3333330,0.0,1.0
544.0,1.0,5.0,32.0,16.5,3.0,3.0,14.0,20.0,2.0,4.0,1.1878777,0.0,1.0
546.0,1.0,4.0,42.0,13.0,0.0,2.0,12.0,11.5,3.0,2.0,1.5076914,0.0,1.0
547.0,1.0,5.0,27.0,9.0,1.0,3.0,14.0,20.0,5.0,5.0,1.3333330,0.0,1.0
565.0,1.0,5.0,22.0,6.0,2.0,2.0,12.0,14.0,2.0,5.0,7.0000000,0.0,1.0
575.0,1.0,2.0,27.0,16.5,2.0,3.0,16.0,20.0,4.0,5.0,0.7272727,0.0,1.0
577.0,1.0,5.0,37.0,13.0,2.0,1.0,12.0,14.0,3.0,4.0,1.5076914,0.0,1.0
584.0,1.0,5.0,27.0,6.0,0.0,2.0,14.0,20.0,3.0,4.0,2.0416660,0.0,1.0
587.0,1.0,2.0,27.0,2.5,1.0,1.0,12.0,11.5,2.0,3.0,26.8799896,0.0,1.0
588.0,1.0,5.0,42.0,23.0,5.5,4.0,20.0,40.0,5.0,4.0,0.5326087,0.0,1.0
612.0,1.0,5.0,27.0,6.0,0.0,2.0,16.0,20.0,5.0,2.0,2.0000000,0.0,1.0
616.0,1.0,5.0,37.0,16.5,3.0,2.0,14.0,20.0,3.0,5.0,0.2121212,0.0,1.0
618.0,1.0,2.0,32.0,9.0,2.0,2.0,16.0,20.0,3.0,5.0,1.3333330,0.0,1.0
630.0,1.0,3.0,37.0,16.5,5.5,3.0,12.0,20.0,5.0,5.0,2.5454540,0.0,1.0
633.0,1.0,5.0,27.0,6.0,2.0,2.0,12.0,20.0,3.0,4.0,0.1666666,0.0,1.0
648.0,1.0,5.0,32.0,16.5,3.0,1.0,12.0,20.0,4.0,4.0,0.4848484,0.0,1.0
652.0,1.0,5.0,27.0,9.0,2.0,1.0,14.0,11.5,5.0,1.0,1.3333330,0.0,1.0
672.0,1.0,4.0,22.0,2.5,0.0,2.0,16.0,20.0,5.0,5.0,0.4000000,0.0,1.0
674.0,1.0,5.0,32.0,16.5,2.0,4.0,14.0,14.0,5.0,2.0,0.4848484,0.0,1.0
706.0,1.0,2.0,22.0,6.0,2.0,2.0,14.0,9.0,2.0,5.0,0.1666666,0.0,1.0
715.0,1.0,3.0,32.0,13.0,3.0,1.0,12.0,11.5,4.0,5.0,1.5076914,0.0,1.0
733.0,1.0,5.0,32.0,16.5,3.0,2.0,12.0,20.0,3.0,4.0,0.0606061,0.0,1.0
